domena,kategoria,grupa,status_strony,adres_koncowy,robots_status,OAI-AdsBot_dostep,OAI-AdsBot_regula,OAI-SearchBot_dostep,OAI-SearchBot_regula,GPTBot_dostep,GPTBot_regula,kontenery_gtm,pixel_openai,pixel_meta,data_skanu
sportano.pl,Sport i outdoor,lider,200,https://sportano.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-TR6HRB3J,nie,tak,2026-09-24 12:21 UTC
martes-sport.pl,Sport i outdoor,lider,błąd: ProxyError,https://martes-sport.pl/,błąd: ProxyError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
sizeer.com,Sport i outdoor,lider,błąd: ReadTimeout,https://sizeer.com/,404,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
8a.pl,Sport i outdoor,lider,403,https://8a.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
worldbox.pl,Sport i outdoor,mniejszy,200,https://worldbox.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
skalnik.pl,Sport i outdoor,mniejszy,403,https://skalnik.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
e-horyzont.pl,Sport i outdoor,mniejszy,200,https://www.e-horyzont.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-PRLLC4H,nie,tak,2026-09-24 12:21 UTC
centrumrowerowe.pl,Sport i outdoor,mniejszy,200,https://www.centrumrowerowe.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-KNDV2X,nie,nie,2026-09-24 12:21 UTC
sklepbiegacza.pl,Sport i outdoor,mniejszy,403,https://sklepbiegacza.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
trekland.pl,Sport i outdoor,mniejszy,błąd: ProxyError,https://trekland.pl/,błąd: ProxyError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
kross.eu,Sport i outdoor,mniejszy,200,https://kross.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-MZPCD3PL,nie,tak,2026-09-24 12:21 UTC
outhorn.com,Sport i outdoor,mniejszy,błąd: ReadTimeout,https://outhorn.com/,błąd: ReadTimeout,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
smyk.com,Dziecko i zabawki,lider,200,https://www.smyk.com/pl/pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-TS28JFK,nie,tak,2026-09-24 12:21 UTC
5-10-15.pl,Dziecko i zabawki,lider,200,https://t2910.am-track.pl/redir.php?panel=Market_Listing&params=id%3D3980150%26utm_source%3Dmarket_redirect%26utm_medium%3Dorganic&type=listing&id=3980150&medium=direct:direct,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie,nie,2026-09-24 12:21 UTC
coccodrillo.eu,Dziecko i zabawki,lider,403,https://en.coccodrillo.eu/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
endo.pl,Dziecko i zabawki,lider,429,https://endo.pl/,429,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
mamissima.pl,Dziecko i zabawki,lider,200,https://mamissima.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-WZ7PPRLG,nie,nie,2026-09-24 12:21 UTC
bobowozki.com.pl,Dziecko i zabawki,mniejszy,200,https://www.bobowozki.com.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-5FPW62H,nie,nie,2026-09-24 12:21 UTC
4kidspoint.pl,Dziecko i zabawki,mniejszy,429,https://4kidspoint.pl/,429,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
tublu.pl,Dziecko i zabawki,mniejszy,403,https://www.tublu.pl/,200,dozwolony,*,zablokowany,nazwany,zablokowany,nazwany,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
noski-noski.pl,Dziecko i zabawki,mniejszy,200,https://noski-noski.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
coolpack.pl,Dziecko i zabawki,mniejszy,200,https://coolpack.pl/,200,dozwolony,*,dozwolony,*,zablokowany,nazwany,GTM-WS62VKVZ,nie,tak,2026-09-24 12:21 UTC
kidsdepot.pl,Dziecko i zabawki,mniejszy,błąd: SSLError,https://kidsdepot.pl/,błąd: SSLError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
zabawki.pl,Dziecko i zabawki,mniejszy,200,https://www.zabawki.pl,błąd: ProxyError,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,,nie,nie,2026-09-24 12:21 UTC
mamaville.pl,Dziecko i zabawki,mniejszy,200,https://mamaville.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-M5ZK242 GTM-M8T753JG,nie,tak,2026-09-24 12:21 UTC
empik.com,"Książki, media i hobby",lider,200,https://www.empik.com/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-PS28TV,nie,nie,2026-09-24 12:21 UTC
taniaksiazka.pl,"Książki, media i hobby",lider,200,https://www.taniaksiazka.pl/,200,dozwolony,*,dozwolony,*,dozwolony,nazwany,GTM-KCGHLK,nie,tak,2026-09-24 12:21 UTC
bonito.pl,"Książki, media i hobby",lider,200,https://bonito.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,tak,2026-09-24 12:21 UTC
swiatksiazki.pl,"Książki, media i hobby",lider,200,https://www.swiatksiazki.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-K82DXVZ,nie,tak,2026-09-24 12:21 UTC
gandalf.com.pl,"Książki, media i hobby",lider,403,https://gandalf.com.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
audioteka.com,"Książki, media i hobby",lider,200,https://audioteka.com/welcome/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,nie,2026-09-24 12:21 UTC
legimi.pl,"Książki, media i hobby",lider,200,https://www.legimi.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-P7GD4CC,nie,tak,2026-09-24 12:21 UTC
woblink.com,"Książki, media i hobby",mniejszy,200,https://woblink.com/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-MTBPCS,nie,nie,2026-09-24 12:21 UTC
rebel.pl,"Książki, media i hobby",mniejszy,200,https://www.rebel.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-56BJZ7Z,nie,tak,2026-09-24 12:21 UTC
planszomania.pl,"Książki, media i hobby",mniejszy,200,https://www.planszomania.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie,tak,2026-09-24 12:21 UTC
znak.com.pl,"Książki, media i hobby",mniejszy,200,https://www.znak.com.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-K7FX3Z,nie,tak,2026-09-24 12:21 UTC
matras.pl,"Książki, media i hobby",mniejszy,200,https://www.matras.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-K7FX3Z,nie,tak,2026-09-24 12:21 UTC
nexto.pl,"Książki, media i hobby",mniejszy,200,https://www.nexto.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-WC7GDLG,nie,tak,2026-09-24 12:21 UTC
czarne.com.pl,"Książki, media i hobby",mniejszy,200,https://czarne.com.pl/,200,dozwolony,brak reguł,dozwolony,brak reguł,dozwolony,brak reguł,GTM-K7WMJ8X,nie,tak,2026-09-24 12:21 UTC
wydawnictwoliterackie.pl,"Książki, media i hobby",mniejszy,200,https://www.wydawnictwoliterackie.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-P5BQWBL,nie,nie,2026-09-24 12:21 UTC
doz.pl,Apteki i suplementy,lider,200,https://www.doz.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-NNMW6D,nie,tak,2026-09-24 12:21 UTC
gemini.pl,Apteki i suplementy,lider,200,https://gemini.pl/,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-PRNC57P,nie,nie,2026-09-24 12:21 UTC
zikoapteka.pl,Apteki i suplementy,lider,200,https://zikoapteka.pl/lokalizator/,200,dozwolony,*,dozwolony,*,zablokowany,nazwany,GTM-N4DKD9J7,nie,tak,2026-09-24 12:21 UTC
aptekaolmed.pl,Apteki i suplementy,lider,403,https://aptekaolmed.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
cefarm24.pl,Apteki i suplementy,lider,200,https://www.cefarm24.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-K8FPJ4R,nie,nie,2026-09-24 12:21 UTC
apteka-melissa.pl,Apteki i suplementy,lider,403,https://apteka-melissa.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
sfd.pl,Apteki i suplementy,mniejszy,200,https://www.sfd.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-TK4L9TX,nie,nie,2026-09-24 12:21 UTC
kfd.pl,Apteki i suplementy,mniejszy,403,https://sklep.kfd.pl/,403,dozwolony,brak pliku,dozwolony,brak pliku,dozwolony,brak pliku,,nie sprawdzono,nie sprawdzono,2026-09-24 12:21 UTC
allnutrition.pl,Apteki i suplementy,mniejszy,200,https://allnutrition.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-NNDL89K8,nie,nie,2026-09-24 12:21 UTC
olimpsport.com,Apteki i suplementy,mniejszy,200,https://olimpsport.com/,200,nieznany,robots niedostępny,nieznany,robots niedostępny,nieznany,robots niedostępny,GTM-NRZ2V3DC,nie,nie,2026-09-24 12:21 UTC
i-apteka.pl,Apteki i suplementy,mniejszy,200,https://www.i-apteka.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-KF43RVK,nie,tak,2026-09-24 12:21 UTC
wapteka.pl,Apteki i suplementy,mniejszy,200,https://www.wapteka.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-NVMC25R2,nie,nie,2026-09-24 12:21 UTC
e-zikoapteka.pl,Apteki i suplementy,mniejszy,200,https://www.e-zikoapteka.pl/,200,dozwolony,*,dozwolony,*,dozwolony,*,GTM-MJ9BT5J,nie,nie,2026-09-24 12:21 UTC
